Gender,Height,Weight,Age
0,1.875717984,109.7022962,47
0,1.747063857,73.61019162,36
0,1.882400442,96.48111363,45
0,1.821970495,99.79250354,46
0,1.775001165,93.58267602,22
0,1.708230015,69.03045613,25
0,1.747144558,83.41400844,43
0,1.736055766,76.17737437,36
0,1.702284726,79.78659428,33
0,1.611798171,70.92955845,33
0,1.808366327,84.62808415,45
0,1.819680089,96.93477074,31
0,1.64506805,75.79476693,27
0,1.7597935,85.91663555,35
0,1.758794316,84.55064309,49
0,1.718202177,78.08931068,34
0,1.839428921,88.90181693,21
0,1.624951123,78.40520191,40
0,1.768861059,84.34646602,48
0,1.725577974,82.7331737,39
0,1.725045725,78.96414017,37
0,1.7637653,89.67411411,50
0,1.680191312,67.65241089,48
0,1.91023555,103.7468393,42
0,1.724490636,73.47240447,37
0,1.730861895,87.23082838,32
0,1.754880148,83.64407003,20
0,1.849145124,93.79963239,26
0,1.712502979,79.46209633,47
0,1.73981243,69.99666164,48
0,1.742903494,85.03711708,32
0,1.880462475,96.55792532,22
0,1.816820321,88.44999693,45
0,1.757179606,93.05379653,32
0,1.767264475,92.59144013,31
0,1.78818717,87.48458734,21
0,1.754538257,89.56382884,32
0,1.706718905,83.36098559,46
0,1.671509161,74.30921763,31
0,1.633329639,73.97188986,48
0,1.726551593,78.06603057,21
0,1.833615087,88.0024512,39
0,1.657870092,76.4706332,49
0,1.678693863,73.10359755,25
0,1.714765596,74.6758627,50
0,1.780665132,85.67904905,24
0,1.733600113,84.83471753,50
0,1.833190478,94.81671809,34
0,1.757171898,87.08133125,49
0,1.85091085,95.84693733,37
0,1.645480899,75.10731346,32
0,1.782665732,91.1890785,38
0,1.739686316,78.65032215,33
0,1.710206525,82.27105637,43
0,1.701573383,76.97855211,33
0,1.689091946,74.06327814,50
0,1.736171111,86.03637639,49
0,1.797674856,87.13145004,41
0,1.808888079,89.88592477,47
0,1.778343037,95.02335594,27
0,1.813644456,90.14049554,46
0,1.766624463,89.83198352,28
0,1.874994528,88.56717106,24
0,1.701724225,74.80421905,46
0,1.814032662,81.57093077,29
0,1.658097542,70.40835406,38
0,1.734167932,83.6822636,35
0,1.848244093,100.0807444,40
0,1.729727706,83.13499107,42
0,1.749979834,89.09356566,40
0,1.759957073,83.71682916,37
0,1.791293485,94.11920114,45
0,1.76946216,80.36323299,45
0,1.716923262,73.97188309,24
0,1.841709941,98.05815425,31
0,1.809829454,92.81428291,38
0,1.823956995,91.12044046,28
0,1.835030873,100.1822086,39
0,1.689424121,89.09290718,37
0,1.677140818,76.48109299,25
0,1.716463143,82.28240953,48
0,1.733466309,90.09463643,39
0,1.875187376,107.8987464,35
0,1.772986141,78.47676005,45
0,1.675376626,72.87252455,34
0,1.805410657,85.53420366,25
0,1.691546775,94.4878431,37
0,1.751372494,87.7256773,34
0,1.733412796,78.96131238,35
0,1.836851032,89.50956429,30
0,1.824115328,91.4379441,39
0,1.657024372,82.09159784,39
0,1.794273053,82.59523174,49
0,1.644194199,80.5212079,25
0,1.704433609,74.81840394,23
0,1.653987424,75.15515292,47
0,1.821214987,87.57104923,42
0,1.697558502,81.94280588,43
0,1.688373768,78.3554299,40
0,1.763056292,80.48554024,50
0,1.779328867,91.07425728,46
0,1.695290949,76.07246047,24
0,1.683371326,70.02069151,23
0,1.73554605,80.71869778,31
0,1.77993112,83.41898275,45
0,1.745821391,81.27201001,38
0,1.715927134,71.91291945,36
0,1.682845632,75.51180573,28
0,1.757231463,77.9971327,44
0,1.7172747,79.0767267,28
0,1.760039066,85.14528429,49
0,1.732046838,91.37776072,31
0,1.818823617,92.93742047,40
0,1.757603696,81.03652901,39
0,1.708457226,74.38296043,43
0,1.871607656,101.2562378,34
0,1.766248794,92.04458334,34
0,1.73511709,85.89196626,43
0,1.720573113,80.80297305,34
0,1.821330013,101.2695398,27
0,1.616262753,75.74998034,46
0,1.745521932,81.84520726,41
0,1.700516679,74.57557625,43
0,1.592760725,68.01343239,35
0,1.835367257,87.48764923,41
0,1.80108339,91.55736903,31
0,1.717293462,81.5728009,46
0,1.798363194,89.10100892,38
0,1.760344654,85.05743741,20
0,1.682572983,77.86537854,42
0,1.71430513,86.93859627,49
0,1.67148205,75.21571328,41
0,1.814673753,84.20078972,41
0,1.738999386,80.85342437,29
0,1.625296536,68.47122506,47
0,1.803451808,95.20604237,45
0,1.730752456,78.98313122,46
0,1.737246641,81.57776739,31
0,1.729647441,76.07580102,27
0,1.730774457,83.01345142,26
0,1.749049792,76.89651736,32
0,1.680184215,78.6538198,40
0,1.681636577,82.03607919,26
0,1.712779279,83.22400583,29
0,1.764569622,93.41401822,40
0,1.791106418,83.33779827,24
0,1.811998375,91.58934035,40
0,1.803453004,98.01364841,43
0,1.681542995,72.28586111,27
0,1.842603684,95.39066878,48
0,1.713978963,81.00605449,43
0,1.659903748,66.54866106,32
0,1.799442784,88.86032425,30
0,1.776440824,77.17725797,20
0,1.644394602,76.94061411,32
0,1.760436954,89.96766152,39
0,1.748500454,81.59080132,34
0,1.573211157,66.78625238,48
0,1.742274207,80.26496649,29
0,1.656555133,84.11237568,45
0,1.63407793,80.49605548,47
0,1.746225723,77.01926414,36
0,1.84124093,90.0597271,48
0,1.707745261,92.22237609,35
0,1.70849898,87.62706244,44
0,1.654013317,80.78682321,39
0,1.683078995,73.82294032,37
0,1.719626103,72.23878032,22
0,1.664483007,78.0563773,33
0,1.774675383,91.53607374,34
0,1.739443113,77.25729231,32
0,1.834238337,93.14728377,50
0,1.731763594,77.00125536,28
0,1.828326303,90.90127462,39
0,1.678057829,80.99272292,47
0,1.693069956,76.19683888,34
0,1.717028809,80.61969426,44
0,1.733450447,87.65425125,26
0,1.646142277,73.64151503,29
0,1.714305773,83.1672673,31
0,1.731794024,82.11160784,39
0,1.76665951,95.63346891,30
0,1.686620515,75.08775468,43
0,1.691444174,88.95621308,37
0,1.827175174,91.63103181,32
0,1.734494329,77.2850805,33
0,1.776872014,91.58643324,33
0,1.82502233,87.70384787,50
0,1.670193006,81.56720617,46
0,1.702612448,70.97049206,34
0,1.948433702,106.5920267,37
0,1.843310169,104.5626009,50
0,1.771115187,92.4696848,41
0,1.849103988,98.96435222,44
0,1.842503278,100.9828471,34
0,1.836290155,94.54642444,48
0,1.708237867,81.98629479,27
0,1.928993152,105.1812918,30
